week,temperature,humidity,feels_like,pressure,clouds,wind_speed,wind_deg,sunrise_seconds,sunset_seconds,weather_description,sunrise,sunset,Semana
54,20.365714285714287,85.28571428571429,20.685714285714287,1016.2857142857143,43.57142857142857,4.117142857142857,131.42857142857142,18808.571428571428,67619.85714285714,broken clouds,05:13:28,18:46:59,2023-12-10
55,22.057142857142857,79.14285714285714,22.384285714285713,1013.2857142857143,43.57142857142857,4.261428571428572,111.42857142857143,18960.285714285714,67860.0,broken clouds,05:16:00,18:51:00,2023-12-17
56,23.111428571428572,72.71428571428571,23.532857142857143,1014.0,13.571428571428571,3.014285714285714,168.57142857142858,19166.14285714286,68056.85714285714,clear sky,05:19:26,18:54:16,2023-12-24
57,20.12,82.42857142857143,20.33857142857143,1014.8571428571429,75.0,4.3428571428571425,140.0,19416.85714285714,68200.42857142857,broken clouds,05:23:36,18:56:40,2023-12-31
58,22.858571428571427,81.0,23.244285714285716,1014.2857142857143,41.42857142857143,3.2342857142857144,165.71428571428572,19700.428571428572,68283.28571428571,clear sky,05:28:20,18:58:03,2024-01-07
59,23.47,78.85714285714286,24.064285714285713,1015.1428571428571,37.857142857142854,2.744285714285714,150.71428571428572,20003.428571428572,68300.85714285714,clear sky,05:33:23,18:58:20,2024-01-14
60,18.574285714285715,88.28571428571429,18.791428571428572,1015.2857142857143,70.0,4.998571428571429,172.85714285714286,20313.714285714286,68251.0,broken clouds,05:38:33,18:57:31,2024-01-21
61,21.164285714285715,77.85714285714286,21.368571428571432,1016.2857142857143,45.714285714285715,3.382857142857143,132.85714285714286,20619.714285714286,68134.85714285714,broken clouds,05:43:39,18:55:34,2024-01-28
62,22.62857142857143,77.42857142857143,22.96857142857143,1016.8571428571429,35.0,3.6014285714285714,120.0,20912.0,67955.0,clear sky,05:48:32,18:52:35,2024-02-04
63,22.082857142857144,80.57142857142857,22.452857142857145,1017.2857142857143,38.57142857142857,3.6228571428571428,138.42857142857142,21183.571428571428,67715.71428571429,clear sky,05:53:03,18:48:35,2024-02-11
64,21.275714285714287,89.57142857142857,21.798571428571428,1012.4285714285714,65.71428571428571,3.0300000000000002,131.71428571428572,21430.85714285714,67423.85714285714,broken clouds,05:57:10,18:43:43,2024-02-18
65,23.345714285714287,83.57142857142857,23.91857142857143,1016.4285714285714,51.42857142857143,3.1614285714285715,138.57142857142858,21653.14285714286,67087.28571428571,broken clouds,06:00:53,18:38:07,2024-02-25
66,22.048571428571428,86.57142857142857,22.57,1016.1428571428571,65.0,3.894285714285714,155.71428571428572,21852.428571428572,66714.71428571429,broken clouds,06:04:12,18:31:54,2024-03-03
67,23.638571428571428,77.14285714285714,24.389999999999997,1015.8571428571429,42.142857142857146,3.38,155.71428571428572,22032.14285714286,66316.0,clear sky,06:07:12,18:25:16,2024-03-10
