date,temperature,humidity,feels_like,pressure,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_description,sunrise,sunset
2021-04-29,290.83,77,290.66,1020,286.75,,75,10000.0,4.63,160,broken clouds,2021-04-28 09:25:32,2021-04-28 20:42:11
2021-04-30,289.78,77,289.51,1024,285.73,,75,10000.0,4.63,90,broken clouds,2021-04-29 09:25:59,2021-04-29 20:41:29
2021-05-01,289.78,78,289.54,1024,285.93,,75,10000.0,3.6,140,broken clouds,2021-04-30 09:26:26,2021-04-30 20:40:48
2021-05-02,290.76,77,290.59,1023,286.68,,40,10000.0,3.1,140,scattered clouds,2021-05-01 09:26:54,2021-05-01 20:40:07
2021-05-03,290.83,81,290.77,1021,287.53,,0,10000.0,2.1,140,clear sky,2021-05-02 09:27:21,2021-05-02 20:39:28
2021-05-04,290.99,87,291.1,1020,288.8,,0,6000.0,2.1,160,clear sky,2021-05-03 09:27:49,2021-05-03 20:38:49
2021-05-05,292.68,62,292.31,1019,285.21,,0,10000.0,0.51,0,clear sky,2021-05-04 09:28:17,2021-05-04 20:38:12
2021-05-06,291.07,86,291.16,1018,288.7,,0,10000.0,1.54,170,clear sky,2021-05-05 09:28:45,2021-05-05 20:37:35
2021-05-07,292.77,75,292.75,1016,288.22,,0,10000.0,6.26,111,clear sky,2021-05-06 09:29:13,2021-05-06 20:37:00
2021-05-08,289.35,84,289.22,1024,286.65,,75,6000.0,3.6,160,light intensity drizzle,2021-05-07 09:29:42,2021-05-07 20:36:25
2021-05-09,288.79,79,288.47,1026,285.16,,75,10000.0,4.63,90,broken clouds,2021-05-08 09:30:10,2021-05-08 20:35:52
2021-05-10,290.84,77,290.68,1024,286.76,,75,10000.0,3.6,150,broken clouds,2021-05-09 09:30:39,2021-05-09 20:35:19
2021-05-11,290.75,82,290.71,1020,287.64,,0,6000.0,2.6,210,clear sky,2021-05-10 09:31:07,2021-05-10 20:34:48
2021-05-12,291.83,73,291.66,1018,286.9,,0,10000.0,2.6,140,clear sky,2021-05-11 09:31:36,2021-05-11 20:34:17
2021-05-13,288.5,92,288.49,1020,287.21,,100,3000.0,3.1,200,moderate rain,2021-05-12 09:32:05,2021-05-12 20:33:48
2021-05-14,287.76,80,287.37,1023,284.35,,20,10000.0,3.6,100,few clouds,2021-05-13 09:32:34,2021-05-13 20:33:19
